CompVar,Company,Variety,SeedTreatment,Location,Trait,Value,Region
AgriMAXX_Exp_1902,AgriMAXX,Exp_1902,C,Elkville,testweight,56.63,SIL
AgriMAXX_Exp_1905,AgriMAXX,Exp_1905,C,Elkville,testweight,58.9,SIL
AgriMAXX_Exp_1906,AgriMAXX,Exp_1906,C,Elkville,testweight,55.1,SIL
AgriMAXX_Exp_1913,AgriMAXX,Exp_1913,C,Elkville,testweight,60.93,SIL
AgriPro_SY_576,AgriPro,SY_576,C,Elkville,testweight,56.7,SIL
AgriPro_SY_100,AgriPro,SY_100,C,Elkville,testweight,55.25,SIL
AgriPro_SY_547,AgriPro,SY_547,C,Elkville,testweight,58.47,SIL
AgriPro_SY_Viper,AgriPro,SY_Viper,C,Elkville,testweight,59.95,SIL
BioTown_Seeds_Diener_491W,BioTown_Seeds,Diener_491W,NA,Elkville,testweight,58.8,SIL
BioTown_Seeds_Diener_497W,BioTown_Seeds,Diener_497W,NA,Elkville,testweight,57.83,SIL
BioTown_Seeds_Diener_D510W,BioTown_Seeds,Diener_D510W,NA,Elkville,testweight,58.27,SIL
BioTown_Seeds_Diener_XW1902W,BioTown_Seeds,Diener_XW1902W,NA,Elkville,testweight,57.5,SIL
Croplan_CP8550,Croplan,CP8550,G,Elkville,testweight,57.87,SIL
Croplan_CP8800,Croplan,CP8800,G,Elkville,testweight,59.57,SIL
Croplan_CP9415,Croplan,CP9415,G,Elkville,testweight,56.9,SIL
Croplan_CP9606,Croplan,CP9606,G,Elkville,testweight,58.37,SIL
Dyna-Gro_9522,Dyna-Gro,9522,G,Elkville,testweight,58.9,SIL
Dyna-Gro_9701,Dyna-Gro,9701,G,Elkville,testweight,59.77,SIL
Dyna-Gro_9750,Dyna-Gro,9750,G,Elkville,testweight,55.03,SIL
Dyna-Gro_9862,Dyna-Gro,9862,G,Elkville,testweight,55.6,SIL
Dyna-Gro_9932,Dyna-Gro,9932,G,Elkville,testweight,59,SIL
Dyna-Gro_9941,Dyna-Gro,9941,G,Elkville,testweight,55.6,SIL
Dyna-Gro_9980,Dyna-Gro,9980,G,Elkville,testweight,59.47,SIL
Dyna-Gro_WX18416,Dyna-Gro,WX18416,G,Elkville,testweight,59.03,SIL
Dyna-Gro_WX19713,Dyna-Gro,WX19713,G,Elkville,testweight,60.2,SIL
Dyna-Gro_WX19714,Dyna-Gro,WX19714,G,Elkville,testweight,55.97,SIL
Go_Wheat_2058,Go_Wheat,2058,C,Elkville,testweight,59.33,SIL
Go_Wheat_EXP18-1,Go_Wheat,EXP18-1,C,Elkville,testweight,57.37,SIL
Go_Wheat_EXP18-2,Go_Wheat,EXP18-2,C,Elkville,testweight,58.37,SIL
GROWMARK_FS_599,GROWMARK,FS_599,C,Elkville,testweight,58.57,SIL
GROWMARK_FS_601,GROWMARK,FS_601,C,Elkville,testweight,54.73,SIL
GROWMARK_FS_603,GROWMARK,FS_603,C,Elkville,testweight,59.5,SIL
